Year,Name,Contribution_Type,Inductee_Type,Games,Points_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,FG%,3P%,FT%,Games_Coached,Wins_Coached,Losses_Coached,Win_Loss
2019,Carl Braun ,Player / Coach,Player,788,13.5,3.4,3.7,,,0.383,,0.804,,,,
2019,Charles “Chuck” Cooper ,Player / CBB player,Player,409,6.7,5.9,1.8,,,0.339,,0.743,,,,
2019,Vlade Divac ,Player / Exec / Oly,Player,1134,11.8,8.2,3.1,1.1,1.4,0.495,0.235,0.692,,,,
2019,Bill Fitch ,Coach / Exec / CBB coach,Coach,,,,,,,,,,2050,944,1106,0.46
2019,Bobby Jones ,Player / Oly / CBB player,Player,941,12.1,6.1,2.7,1.5,1.4,0.56,,0.766,,,,
2019,Sidney Moncrief ,Player / Coach / CBB player / CBB coach,Player,767,15.6,4.7,3.6,1.2,0.3,0.502,0.284,0.831,,,,
2019,Jack Sikma ,Player / Coach,Player,1107,15.6,9.8,3.2,1,0.9,0.464,,0.849,,,,
2019,Teresa Weatherspoon ,WNBA / CBB coach,Player,,,,,,,,,,,,,
2019,Paul Westphal ,Player / Coach / CBB player / CBB coach,Player,823,15.6,1.9,4.4,1.3,0.3,0.504,,0.82,,,,
2018,Ray Allen ,Player / Oly / CBB player,Player,1300,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,,,,
2018,Maurice Cheeks ,Player / Coach / CBB player,Player,1101,11.1,2.8,6.7,2.1,0.3,0.523,,0.793,,,,
2018,"Charles ""Lefty"" Driesell ",CBB player / CBB coach,Coach,,,,,,,,,,,,,
2018,Grant Hill ,Player / Oly / CBB player,Player,1026,16.7,6,4.1,1.2,0.6,0.483,0.314,0.769,,,,
2018,Jason Kidd ,Player / Coach / Oly / CBB player,Player,1391,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,,,,
2018,Steve Nash,Player / Oly / CBB player,Player,1217,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,,,,
2018,Dino Radja ,Player / Int'l / Oly,Player,224,16.7,8.4,1.6,0.9,1.3,0.497,0,0.735,,,,
2018,Charlie Scott ,Player / Oly / CBB player,Player,717,20.7,4,4.9,1.3,0.3,0.448,,0.773,,,,
2018,Katie Smith,WNBA,Player,,,,,,,,,,,,,
2018,Tina Thompson ,WNBA / CBB coach,Player,,,,,,,,,,,,,
2018,Rod Thorn ,Player / Coach / Exec / CBB player,Contributor,,,,,,,,,,,,,
2018,Ora Mae Washington,,Player,,,,,,,,,,,,,
2018,Rick Welts,,Contributor,,,,,,,,,,,,,
2017,Zack Clayton,,Player,,,,,,,,,,,,,
2017,Nick Galis,CBB Player,Player,,,,,,,,,,,,,
2017,Robert Hughes,,Coach,,,,,,,,,,,,,
2017,Mannie Jackson,,Contributor,,,,,,,,,,,,,
2017,Tom Jernstedt,,Contributor,,,,,,,,,,,,,
2017,Jerry Krause ,Exec,Contributor,,,,,,,,,,,,,
2017,Rebecca Lobo ,WNBA,Contributor,,,,,,,,,,,,,
2017,George McGinnis,Player / CBB player,Player,842,20.2,11,3.7,1.9,0.5,0.458,,0.664,,,,
2017,Tracy McGrady ,Player,Player,938,19.6,5.6,4.4,1.2,0.9,0.435,0.338,0.746,,,,
2017,Muffet McGraw ,CBB coach,Coach,,,,,,,,,,,,,
2017,Bill Self ,CBB player / CBB coach,Coach,,,,,,,,,,,,,
2016,Zelmo Beaty ,Player,Player,889,17.1,10.9,1.5,0.7,0.8,0.494,,0.771,,,,
2016,Darell Garretson ,Ref,Referee,,,,,,,,,,,,,
2016,Allen Iverson , Player / Int'l / Oly / CBB player,Player,914,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,,,,
2016,Tom Izzo ,CBB coach,Coach,,,,,,,,,,,,,
2016,John McLendon ,Coach,Coach,,,,,,,,,,28,9,19,0.321
2016,Yao Ming ,Player / Oly,Player,486,19,9.2,1.6,0.4,1.9,0.524,0.2,0.833,,,,
2016,Shaquille O'Neal ,Player / Oly / CBB player,Player,1207,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,,,,
2016,Cumberland Posey,,Player,,,,,,,,,,,,,
2016,Jerry Reinsdorf,,Contributor,,,,,,,,,,,,,
2016,Sheryl Swoopes ,WNBA / CBB coach,Player,,,,,,,,,,,,,
2015,Dick Bavetta ,Ref,Referee,,,,,,,,,,,,,
2015,John Calipari ,Coach / CBB coach,Coach,,,,,,,,,,184,72,112,0.391
2015,Louie Dampier ,Player,Player,960,15.9,2.6,4.9,0.8,0.3,0.444,,0.82,,,,
2015,Lindsay Gaze,,Coach,,,,,,,,,,,,,
2015,Spencer Haywood ,Player / CBB player,Player,844,20.3,10.3,1.8,0.6,1.1,0.469,,0.796,,,,
2015,Tom Heinsohn ,Player / Coach / CBB player,Coach,,,,,,,,,,690,427,263,0.619
2015,John Isaacs,,Player,,,,,,,,,,,,,
2015,Lisa Leslie ,WNBA,Player,,,,,,,,,,,,,
2015,Dikembe Mutombo ,Player / CBB player,Player,1196,9.8,10.3,1,0.4,2.8,0.518,0,0.684,,,,
2015,George Raveling,CBB coach,Contributor,,,,,,,,,,,,,
2015,Jo Jo White ,Player / CBB player,Player,837,17.2,4,4.9,1.3,0.2,0.444,,0.834,,,,
2014,Immaculata University Women 1972-1974,,Team,,,,,,,,,,,,,
2014,Nathaniel Clifton ,Player,Contributor,,,,,,,,,,,,,
2014,Slick Leonard ,Player / Coach / Exec ,Coach,,,,,,,,,,1107,573,534,0.518
2014,Sarunas Marciulionis ,Player / Oly,Player,363,12.8,2.3,2.2,1.3,0.1,0.505,0.369,0.768,,,,
2014,Alonzo Mourning ,Player / Oly,Player,838,17.1,8.5,1.1,0.5,2.8,0.527,0.247,0.692,,,,
2014,Nolan Richardson ,CBB coach,Coach,,,,,,,,,,,,,
2014,Mitch Richmond,Player / Oly,Player,976,21,3.9,3.5,1.2,0.3,0.455,0.388,0.85,,,,
2014,Guy Rodgers ,Player / CBB player,Player,892,11.7,4.3,7.8,,,0.378,,0.721,,,,
2014,David Stern,,Contributor,,,,,,,,,,,,,
2014,Gary Williams ,CBB coach,Coach,,,,,,,,,,,,,
2013,Roger Brown ,Player,Player,605,17.4,6.2,3.8,0.7,0.6,0.469,0.321,0.791,,,,
2013,Russ Granik,,Contributor,,,,,,,,,,,,,
2013,Richie Guerin ,Player / Coach / Exec / CBB player,Player,848,17.3,5,5,,,0.416,,0.78,,,,
2013,Sylvia Hatchell ,CBB coach,Coach,,,,,,,,,,,,,
2013,E.B. Henderson,,Contributor,,,,,,,,,,,,,
2013,Bernard King ,Player / CBB player,Player,874,22.5,5.8,3.3,1,0.3,0.518,,0.73,,,,
2013,Guy Lewis ,CBB coach,Coach,,,,,,,,,,,,,
2013,Gary Payton ,Player / Oly / CBB player,Player,1335,16.3,3.9,6.7,1.8,0.2,0.466,0.317,0.729,,,,
2013,Rick Pitino ,Coach / Exec / CBB coach,Coach,,,,,,,,,,412,192,220,0.466
2013,Oscar Schmidt,,Player,,,,,,,,,,,,,
2013,Dawn Staley ,WNBA / CBB coach,Player,,,,,,,,,,,,,
2013,Jerry Tarkanian,Coach / CBB coach,Coach,,,,,,,,,,20,9,11,0.45
2012,All American Red Heads,,Team,,,,,,,,,,,,,
2012,Lidia Alexeeva,,Coach,,,,,,,,,,,,,
2012,Don Barksdale,Player / Oly,Contributor,,,,,,,,,,,,,
2012,Mel Daniels ,Player / Coach / CBB player,Player,639,18.4,14.9,1.8,0.6,1.5,0.468,,0.657,,,,
2012,Phil Knight,,Contributor,,,,,,,,,,,,,
2012,Katrina McClain,,Player,,,,,,,,,,,,,
2012,Reggie Miller ,Player / Oly / CBB player,Player,1389,18.2,3,3,1.1,0.2,0.471,0.395,0.888,,,,
2012,Don Nelson ,Player / Coach / Exec / CBB player,Coach,,,,,,,,,,2398,1335,1063,0.557
2012,Hank Nichols,,Referee,,,,,,,,,,,,,
2012,Ralph Sampson ,Player / CBB player,Player,456,15.4,8.8,2.3,0.9,1.6,0.486,0.172,0.661,,,,
2012,Chet Walker ,Player / CBB player,Player,1032,18.2,7.1,2.1,0.7,0.1,0.47,,0.796,,,,
2012,Jamaal Wilkes ,Player / CBB player,Player,828,17.7,6.2,2.5,1.3,0.3,0.499,,0.759,,,,
2011,Teresa Edwards,WNBA,Player,,,,,,,,,,,,,
2011,Artis Gilmore ,Player / CBB player,Player,1329,18.8,12.3,2.3,0.6,2.4,0.582,,0.698,,,,
2011,Herb Magee,,Coach,,,,,,,,,,,,,
2011,Chris Mullin ,,Player,986,18.2,4.1,3.5,1.6,0.6,0.509,0.384,0.865,,,,
2011,Dennis Rodman ,Player,Player,911,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,,,,
2011,Arvydas Sabonis ,Player / Oly,Player,470,12,7.3,2.1,0.8,1.1,0.5,0.328,0.786,,,,
2011,Tom Sanders ,Player / Coach,Contributor,,,,,,,,,,,,,
2011,Goose Tatum,,Player,,,,,,,,,,,,,
2011,Tara VanDerveer ,CBB coach,Coach,,,,,,,,,,,,,
2011,Tex Winter ,Coach / CBB coach,Contributor,,,,,,,,,,,,,
2010,1960 USA Men's Olympic Team,,Team,,,,,,,,,,,,,
2010,1992 USA Men's Olympic Team,,Team,,,,,,,,,,,,,
2010,Jerry Buss,,Contributor,,,,,,,,,,,,,
2010,Cynthia Cooper-Dyke ,WNBA / CBB coach,Player,,,,,,,,,,,,,
2010,Bob Hurley,,Coach,,,,,,,,,,,,,
2010,Dennis Johnson ,Player / Coach / CBB player,Player,1100,14.1,3.9,5,1.3,0.6,0.445,,0.797,,,,
2010,Gus Johnson ,Player / CBB player,Player,631,16.2,12.1,2.5,,,0.44,,0.7,,,,
2010,Karl Malone ,Player / Oly / CBB player,Player,1476,25,10.1,3.6,1.4,0.8,0.516,0.274,0.742,,,,
2010,Maciel Pereira,,Player,,,,,,,,,,,,,
2010,Scottie Pippen ,Player / Oly,Player,1178,16.1,6.4,5.2,2,0.8,0.473,0.326,0.704,,,,
2009,Michael Jordan ,Player / Exec / Oly / CBB player,Player,1072,30.1,6.2,5.3,2.3,0.8,0.497,0.327,0.835,,,,
2009,David Robinson ,Player / Oly / CBB player,Player,987,21.1,10.6,2.5,1.4,3,0.518,0.25,0.736,,,,
2009,Jerry Sloan ,Player / Coach,Coach,,,,,,,,,,2024,1221,803,0.603
2009,John Stockton,Player / Oly / CBB player,Player,1504,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,,,,
2009,C. Vivian Stringer ,CBB coach,Coach,,,,,,,,,,,,,
2008,Adrian Dantley ,Player / Oly / CBB player,Player,955,24.3,5.7,3,1,0.2,0.54,,0.818,,,,
2008,Bill Davidson ,Exec,Contributor,,,,,,,,,,,,,
2008,Patrick Ewing ,Player / Oly / CBB player,Player,1183,21,9.8,1.9,1,2.4,0.504,0.152,0.74,,,,
2008,Hakeem Olajuwon ,Player / Oly / CBB player,Player,1238,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,,,,
2008,Pat Riley ,Player / Coach / Exec / CBB player,Coach,,,,,,,,,,1904,1210,694,0.636
2008,Cathy Rush,,Coach,,,,,,,,,,,,,
2008,Dick Vitale ,Coach / CBB coach,Contributor,,,,,,,,,,,,,
2007,1966 Texas Western,,Team,,,,,,,,,,,,,
2007,Van Chancellor ,WNBA / CBB coach,Coach,,,,,,,,,,,,,
2007,Pedro Ferrandiz,,Coach,,,,,,,,,,,,,
2007,Phil Jackson ,Player / Coach,Coach,,,,,,,,,,1640,1155,485,0.704
2007,Mirko Novosel,,Coach,,,,,,,,,,,,,
2007,Mendy Rudolph,,Referee,,,,,,,,,,,,,
2007,Roy Williams ,CBB coach,Coach,,,,,,,,,,,,,
2006,Geno Auriemma ,CBB coach,Coach,,,,,,,,,,,,,
2006,Charles Barkley ,Player / Oly / CBB player,Player,1073,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,,,,
2006,Joe Dumars,Player / Exec / CBB player,Player,1018,16.1,2.2,4.5,0.9,0.1,0.46,0.382,0.843,,,,
2006,Sandro Gamba,,Coach,,,,,,,,,,,,,
2006,Dave Gavitt ,Exec / CBB coach,Contributor,,,,,,,,,,,,,
2006,Dominique Wilkins,Player / CBB player,Player,1074,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.811,,,,
2005,Jim Boeheim ,CBB coach,Coach,,,,,,,,,,,,,
2005,Hubie Brown,Coach,Contributor,,,,,,,,,,,,,
2005,Jim Calhoun ,CBB coach,Coach,,,,,,,,,,,,,
2005,Sue Gunter ,CBB coach,Coach,,,,,,,,,,,,,
2005,Hortencia Marcari,,Player,,,,,,,,,,,,,
2004,Jerry Colangelo ,Coach / Exec,Contributor,,,,,,,,,,,,,
2004,Drazen Dalipagic,,Player,,,,,,,,,,,,,
2004,Clyde Drexler ,Player / Oly / CBB player / CBB coach,Player,1086,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,,,,
2004,Bill Sharman,Player / Coach / Exec / CBB player,Coach,,,,,,,,,,819,466,353,0.569
2004,Maurice Stokes ,Player,Player,202,16.4,17.3,5.3,,,0.351,,0.698,,,,
2004,Lynette Woodard ,WNBA / CBB coach,Player,,,,,,,,,,,,,
2003,Leon Barmore,CBB coach,Coach,,,,,,,,,,,,,
2003,Chick Hearn,,Contributor,,,,,,,,,,,,,
2003,Meadowlark Lemon,,Contributor,,,,,,,,,,,,,
2003,Earl Lloyd ,Player / Coach,Contributor,,,,,,,,,,,,,
2003,Dino Meneghin,,Player,,,,,,,,,,,,,
2003,Robert Parish ,Player / CBB player,Player,1611,14.5,9.1,1.4,0.8,1.5,0.537,,0.721,,,,
2003,James Worthy ,Player / CBB player,Player,926,17.6,5.1,3,1.1,0.7,0.521,0.241,0.769,,,,
2002,Harlem Globetrotters,,Team,,,,,,,,,,,,,
2002,Larry Brown ,Player / Coach / Exec / CBB coach,Coach,,,,,,,,,,2338,1327,1011,0.568
2002,Magic Johnson ,Player / Coach / Oly / CBB player,Player,906,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,,,,
2002,Lute Olson ,CBB coach,Coach,,,,,,,,,,,,,
2002,Drazen Petrovic ,Player / Oly,Player,290,15.4,2.3,2.4,0.9,0.1,0.506,0.437,0.841,,,,
2002,Kay Yow ,CBB coach,Coach,,,,,,,,,,,,,
2001,John Chaney,CBB coach,Coach,,,,,,,,,,,,,
2001,Mike Krzyzewski ,CBB coach,Coach,,,,,,,,,,,,,
2001,Moses Malone ,Player,Player,1455,20.3,12.3,1.3,0.8,1.3,0.495,,0.76,,,,
2000,Danny Biasone ,Exec,Contributor,,,,,,,,,,,,,
2000,Bob McAdoo ,Player / CBB player,Player,852,22.1,9.4,2.3,1,1.5,0.503,,0.754,,,,
2000,Charles Newton,,Contributor,,,,,,,,,,,,,
2000,Pat Summitt ,CBB coach,Coach,,,,,,,,,,,,,
2000,Isiah Thomas ,Player / Coach / Exec / CBB player / CBB coach,Player,979,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,,,,
2000,Morgan Wootten,,Coach,,,,,,,,,,,,,
1999,Wayne Embry ,Player / Exec,Contributor,,,,,,,,,,,,,
1999,Kevin McHale ,Player / Coach / Exec / CBB player,Player,971,17.9,7.3,1.7,0.4,1.7,0.554,0.261,0.798,,,,
1999,Billie Moore,CBB coach,Coach,,,,,,,,,,,,,
1999,John Thompson ,Player / CBB coach,Coach,,,,,,,,,,,,,
1999,Fred Zollner,Exec,Contributor,,,,,,,,,,,,,
1998,Larry Bird ,Player / Coach / Exec / Oly / CBB player,Player,897,24.3,10,6.3,1.7,0.8,0.496,0.376,0.886,,,,
1998,Jody Conradt ,CBB coach,Coach,,,,,,,,,,,,,
1998,Alex Hannum ,Player / Coach / Exec / CBB player,Coach,,,,,,,,,,1213,649,564,0.535
1998,Marques Haynes,,Player,,,,,,,,,,,,,
1998,Aleksandar Nikolic,,Coach,,,,,,,,,,,,,
1998,Arnie Risen,Player,Player,637,12,9.7,1.7,,,0.381,,0.699,,,,
1998,Lenny Wilkens ,Player / Coach / Exec / CBB player,Coach,,,,,,,,,,2487,1332,1155,0.536
1997,Pete Carril ,CBB coach,Coach,,,,,,,,,,,,,
1997,Joan Crawford,,Player,,,,,,,,,,,,,
1997,Denise Curry ,CBB Player,Player,,,,,,,,,,,,,
1997,Antonio Diaz-Miguel,,Coach,,,,,,,,,,,,,
1997,Alex English ,Player / CBB player,Player,1193,21.5,5.5,3.6,0.9,0.7,0.507,,0.832,,,,
1997,Don Haskins ,CBB coach,Coach,,,,,,,,,,,,,
1997,Bailey Howell ,Player / CBB player,Player,950,18.7,9.9,2,,,0.48,,0.762,,,,
1996,Kresimir Cosic,,Player,,,,,,,,,,,,,
1996,George Gervin ,Player,Player,1060,25.1,5.3,2.6,1.2,1,0.504,,0.841,,,,
1996,Gail Goodrich,Player / CBB player,Player,1031,18.6,3.2,4.7,1.3,0.2,0.456,,0.807,,,,
1996,Nancy Lieberman-Cline ,WNBA,Player,,,,,,,,,,,,,
1996,David Thompson ,Player / CBB player,Player,592,22.7,4.1,3.3,1,0.9,0.505,,0.781,,,,
1996,George Yardley ,Player / CBB player,Player,472,19.2,8.9,1.7,,,0.422,,0.78,,,,
1995,Kareem Abdul-Jabbar ,Player / CBB player,Player,1560,24.6,11.2,3.6,0.9,2.6,0.559,,0.721,,,,
1995,Anne Donovan ,WNBA / CBB coach,Player,,,,,,,,,,,,,
1995,Aleksandr Gomelsky,,Coach,,,,,,,,,,,,,
1995,John Kundla ,Coach / Exec / CBB coach,Coach,,,,,,,,,,725,423,302,0.583
1995,Vern Mikkelsen ,Player / Coach / Exec / CBB player,Player,699,14.4,9.4,2.2,,,0.403,,0.766,,,,
1995,Cheryl Miller ,WNBA / CBB coach,Player,,,,,,,,,,,,,
1995,Earl Strom ,Ref,Referee,,,,,,,,,,,,,
1994,Carol Blazejowski,,Player,,,,,,,,,,,,,
1994,Denny Crum ,CBB coach,Coach,,,,,,,,,,,,,
1994,Chuck Daly ,Coach / CBB coach,Coach,,,,,,,,,,1075,638,437,0.593
1994,Buddy Jeannette,Player / Coach / Exec / CBB coach,Player,139,7.2,,2.1,,,0.341,,0.781,,,,
1994,Cesare Rubini,,Coach,,,,,,,,,,,,,
1993,Walt Bellamy ,Player / Oly / CBB player,Player,1043,20.1,13.7,2.4,0.7,0.6,0.516,,0.632,,,,
1993,Julius Erving ,Player / CBB player,Player,1243,24.2,8.5,4.2,2,1.7,0.506,,0.777,,,,
1993,Dan Issel,Player / Coach / Exec / CBB player,Player,1218,22.6,9.1,2.4,1,0.5,0.499,,0.793,,,,
1993,Dick McGuire ,,Player,738,8,4.2,5.7,,,0.389,,0.644,,,,
1993,Ann Meyers ,Player / Coach / CBB player,Player,,,,,,,,,,,,,
1993,Calvin Murphy ,Player / CBB player,Player,1002,17.9,2.1,4.4,1.5,0.1,0.482,,0.892,,,,
1993,Uljana Semjonova,,Player,,,,,,,,,,,,,
1993,Bill Walton ,Player / CBB player,Player,468,13.3,10.5,3.4,0.8,2.2,0.521,,0.66,,,,
1992,Sergei Belov,,Player,,,,,,,,,,,,,
1992,Lou Carnesecca ,Coach / Exec / CBB coach,Coach,,,,,,,,,,252,114,138,0.452
1992,Lusia Harris-Stewart ,CBB coach,Player,,,,,,,,,,,,,
1992,Connie Hawkins ,Player,Player,616,18.7,8.8,4.1,1.2,0.8,0.479,,0.779,,,,
1992,Bob Lanier ,Player / Coach / CBB player,Player,959,20.1,10.1,3.1,1.1,1.5,0.514,,0.767,,,,
1992,Alfred McGuire ,Player / CBB player,Coach,,,,,,,,,,,,,
1992,Jack Ramsay ,Coach / Exec / CBB coach,Coach,,,,,,,,,,1647,864,783,0.525
1992,Nera White,,Player,,,,,,,,,,,,,
1992,Phillip Woolpert,CBB coach,Coach,,,,,,,,,,,,,
1991,Tiny Archibald ,Player / CBB player,Player,876,18.8,2.3,7.4,1.1,0.1,0.467,,0.81,,,,
1991,Dave Cowens ,Player / Coach / CBB player,Player,766,17.6,13.6,3.8,1.1,0.9,0.46,,0.783,,,,
1991,Larry Fleisher,,Contributor,,,,,,,,,,,,,
1991,Harry Gallatin ,Player / Coach,Player,682,13,11.9,1.8,,,0.398,,0.773,,,,
1991,Bob Knight,CBB coach,Coach,,,,,,,,,,,,,
1991,Lawrence O'Brien,,Contributor,,,,,,,,,,,,,
1991,Borislav Stankovic,,Contributor,,,,,,,,,,,,,
1990,Dave Bing ,Player / CBB player,Player,901,20.3,3.8,6,1.3,0.2,0.441,,0.775,,,,
1990,Elvin Hayes ,Player / CBB player,Player,1303,21,12.5,1.8,1,2,0.452,,0.67,,,,
1990,Neil Johnston ,Player / Coach / CBB player,Player,516,19.4,11.3,2.5,,,0.444,,0.768,,,,
1990,Earl Monroe ,Player,Player,926,18.8,3,3.9,1,0.3,0.464,,0.807,,,,
1989,Pop Gates,,Player,,,,,,,,,,,,,
1989,K.C. Jones ,Player / Coach / CBB player,Player,676,7.4,3.5,4.3,,,0.387,,0.647,,,,
1989,Lenny Wilkens ,Player / Coach / Exec / CBB player,Player,1077,16.5,4.7,6.7,1.3,0.2,0.432,,0.774,,,,
1988,Clyde Lovellette ,Player,Player,704,17,9.5,1.6,,,0.443,,0.757,,,,
1988,Bob McDermott ,NBL,Player,,,,,,,,,,,,,
1988,Ralph Miller ,CBB coach,Coach,,,,,,,,,,,,,
